OBJECTID,FeatureType,Region,Orientation,Type,Boulder,OddShape,Shape_Length
1,1,1,272.4797949,L,,,14.75845548
2,2,1,285.7447944,P,,,7.265202578
3,2,1,135.1552258,T,,,4.538478499
4,2,1,292.5943257,T,,,3.62257208
5,2,1,307.614781,U,,,0.404780847
6,2,1,90.92038918,P,,,4.314308085
7,2,1,286.0393217,P,,,5.712451316
8,2,1,276.0427969,U,,,4.904892877
9,2,1,274.2567736,U,M,,4.805533232
10,2,1,272.2582749,P,,,5.077836512
11,2,1,284.6704317,I,,,1.965058056
12,2,1,276.7848758,I,,,3.373272353
13,2,1,279.4621777,P,,Y,5.195037296
14,2,1,280.1450492,P,,,1.562427364
15,2,1,278.6145534,I,,,0.989673344
16,2,1,277.6916324,I,,,0.503016477
17,2,1,310.4578019,P,,,2.347792273
18,2,1,324.7985472,P,,,1.160541163
19,2,1,98.52745698,P,,,3.881702001
20,2,1,4.747550623,P,,,3.48821929
21,2,1,273.7009231,U,,,3.620243097
23,2,1,276.9639892,P,,,1.417803011
24,2,1,270.2036391,I,,,1.109115633
25,2,1,271.967747,P,,,1.591545746
26,2,1,276.6667236,L,,,8.018158867
27,2,1,272.9397453,U,,,2.461404218
28,2,1,273.1118688,P,,,6.046592824
29,2,1,121.8536406,P,,,1.793691349
30,2,1,272.9572924,P,,,2.168258701
31,2,1,301.2616245,P,,,0.575446358
32,2,1,271.4974079,U,,,0.596942495
33,2,1,283.76353,U,,,0.583114511
34,2,1,319.2073505,I,,,0.567934488
35,2,1,266.4239982,P,,,1.371371096
36,2,1,314.3082846,P,,,0.57360259
37,2,1,277.724785,I,,,1.573347412
38,2,1,97.94372001,P,,,2.641026313
39,2,1,322.7877519,I,,,1.482781523
40,2,1,278.2385482,U,,,0.589800098
41,2,1,275.9938368,I,,,0.878196868
42,2,1,90.56853375,P,,,0.806677205
43,2,1,277.7370828,I,,,0.469528396
44,2,1,146.2459791,P,,,4.357103361
45,2,1,275.2090858,U,,,1.273638728
46,2,1,342.6447264,P,,,1.367811856
47,2,1,274.5319976,P,,,4.855370963
49,2,1,303.7847423,T,,,2.788546707
50,2,1,90.67428217,P,,,0.627250245
51,2,1,277.809388,T,,,1.858326277
52,2,1,113.1351836,P,,,0.789274956
53,2,1,306.8805806,P,,,0.580380249
54,2,1,151.2103467,P,,,0.675514929
55,2,1,109.1284479,P,,,1.378697726
56,2,1,105.2987241,P,,,1.122284072
57,2,1,112.135223,P,,,0.935218116
58,2,1,285.0779106,T,,,2.622999168
59,2,1,125.7547455,U,,,1.63738777
60,2,1,265.8070268,P,,,4.231195149
61,2,1,269.117448,U,,,0.504314811
62,2,1,269.3144051,P,,,8.61383374
63,2,1,287.9638861,P,,,0.574090164
64,2,1,88.80323631,T,,,1.333518577
65,2,1,95.64611815,T,,,1.293776288
66,2,1,281.1160725,P,,,1.425889985
67,2,1,278.8450248,U,,,0.507821122
68,2,1,300.1647075,T,M,,0.885242228
69,2,1,274.8250931,P,,,4.782706488
70,2,1,279.7566857,P,,,9.942458257
71,2,1,87.4343528,P,,,0.850912825
72,2,1,287.9561245,P,,,1.056496027
73,2,1,286.5527489,P,,,0.426322162
74,2,1,284.2381383,P,,,7.012372643
75,2,1,280.1422482,U,,,2.006274204
76,2,1,270.3214862,U,,,1.595696906
77,2,1,329.8369991,U,,,2.359918789
78,2,1,299.4412609,P,,,1.08706568
79,2,1,275.739476,U,,,2.338732909
80,2,1,291.5352534,I,,,0.41511992
81,2,1,296.1939299,P,,,0.467642755
82,2,1,276.7182186,P,,,0.341572816
83,2,1,211.0540109,T,,,1.025851678
84,2,1,96.63358367,P,,,1.750520802
85,2,1,92.06895331,U,,,0.771137053
86,2,1,93.01618178,L,,,5.825742531
87,2,1,91.85429446,T,,,1.043704177
88,2,1,289.6463654,P,,,3.989043812
89,2,1,299.5143994,P,,,1.32440895
90,2,1,296.9739549,P,,,0.266537372
