OBJECTID,Type,Region,Orientation,FeatureType,Boulder,OddShape,Shape_Length
36,I,4,93.11041198,,,,51421.34936
37,P,4,328.9454852,,,,12636.4719
38,P,4,290.9076299,,,,10298.3471
39,P,4,301.8778635,,,,5354.139806
40,U,4,308.9260407,,,,10281.22335
41,U,4,350.563977,,,,8598.073469
42,P,4,318.6828771,,,,11508.95852
43,P,4,335.9303454,,,,5821.046093
44,P,4,353.6289039,,,,12268.11819
45,P,4,358.4801567,,,,4463.665876
46,P,4,299.3473796,,,,7997.113689
47,P,4,321.9958263,,,,6107.02925
48,P,4,315.3808359,,,,7903.495842
49,P,4,338.5466131,,,,22046.12681
51,U,4,26.01902647,,,,8127.116573
52,P,4,300.5922373,,,,6620.279249
55,P,4,319.9568314,,,,3232.115889
56,P,4,301.0924286,,,,10713.31845
57,U,4,304.6873185,,,,5994.146564
58,I,4,348.5891282,,,,9467.493905
59,P,4,301.0804444,,,,5479.388488
60,P,4,343.4732138,,,,5574.218231
61,P,4,302.1687578,,,,4269.064745
62,P,4,308.4546795,,,,6420.581893
63,P,4,313.4583209,,,,4718.274895
64,P,4,312.7759627,,,,5226.971042
65,U,4,273.6611028,,,,7402.989424
66,I,4,90.90862911,,,,11934.86127
67,I,4,271.1995477,,,,7927.064979
68,I,4,188.8111242,,,,8673.144391
69,I,4,216.908862,,,,4397.84398
70,U,4,267.0749399,,,,20777.09075
71,P,4,130.4536022,,,,8265.361008
72,P,4,209.1764299,,,,7682.057712
73,T,4,197.9750244,,,,8668.12182
74,P,4,211.5941963,,,,2658.561917
75,T,4,219.4506656,,,,6197.395794
76,I,4,163.694525,,,,8729.255061
77,U,4,9.168428918,,,Y,22103.24052
78,P,4,21.08715958,,,,8180.120976
79,I,4,6.780112658,,,,2904.047916
80,I,4,187.0936636,,,,3450.804731
81,O,4,3.058868582,,,,3455.807357
82,P,4,350.5823171,,,,3097.534558
83,P,4,357.9488553,,,,2132.56717
84,P,4,132.7102034,,,,3805.289585
85,P,4,302.8337567,,,,4053.419476
86,U,4,177.6521909,,,,10649.61925
87,U,4,312.6257714,,,,5484.125087
88,P,4,312.0916376,,,,11445.07991
89,U,4,337.4336969,,,,4667.0231
90,P,4,136.5201352,,,,13227.75607
91,P,4,318.2530607,,,,6578.172694
92,P,4,306.4563767,,,,10891.19323
93,U,4,82.13153799,,,,25115.57519
94,I,4,320.0727708,,,,10873.37402
95,I,4,134.9518516,,,,16429.28589
96,I,4,165.3406328,,,,13101.25774
97,U,4,206.7528605,,,,6994.716062
98,U,4,213.9517307,,,,17211.78303
99,I,4,288.2340538,,,,3913.823231
100,O,4,12.94042846,,,,5411.545334
101,U,4,197.0834688,,,,4840.997676
102,O,4,214.7736828,,,,8768.105846
103,I,4,97.74585114,,,,31318.01206
104,U,4,332.9889132,,,,3848.195067
105,U,4,332.8433491,,,,2607.748916
106,U,4,188.3444995,,,,8654.615593
107,O,4,130.6932662,,,,13345.39512
109,I,4,314.5350133,,,,13905.45138
110,U,4,137.8971681,,,,10102.06956
111,P,4,294.8080125,,,,7343.911913
112,U,4,164.1167198,,,,4755.153176
113,I,4,347.601717,,,,11630.33984
114,U,4,94.35994254,,,,6250.681468
115,P,4,127.9261189,,,,4502.200825
116,U,4,313.519888,,,,3685.582594
117,P,4,310.7994746,,,,7769.796912
118,P,4,124.9370673,,,,2294.867131
119,U,4,131.2615993,,,,5292.748914
120,P,4,146.4960722,,,,15671.63537
121,P,4,131.2119979,,,,11261.6106
122,U,4,205.0520102,,,,4850.654952
123,I,4,25.23473638,,,,6077.374903
124,O,4,14.24210566,,,,7855.043934
125,U,4,206.4773248,,,,6316.553197
126,I,4,197.7771506,,,,5317.829162
127,U,4,212.4119235,,,,7486.078452
128,U,4,170.2599878,,,,5092.658621
129,U,4,160.8449589,,,,3610.86492
130,U,4,28.63321447,,,,9626.272992
131,O,4,6.26353509,,,,9924.150347
132,I,4,344.5197455,,,,4697.849035
133,I,4,307.5126433,,,,3731.315782
134,O,4,196.2741119,,,,6718.902484
135,O,4,25.13605538,,,,9428.554062
136,I,4,302.2055502,,,,6263.034167
137,U,4,291.5510734,,,,20307.95171
138,O,4,21.88438866,,,,3631.45072
139,U,4,118.9782866,,,,4632.812279
140,P,4,299.686256,,,,3953.285229
141,U,4,309.7723181,,,,3286.687322
142,P,4,305.7338559,,,,1865.43522
143,P,4,324.147162,,,,7407.715692
144,I,4,299.907491,,,,5603.199255
146,I,4,351.9053253,,,,3516.694171
147,I,4,129.2445367,,,,2783.504269
148,I,4,167.2977859,,,,3378.528106
149,I,4,167.6368324,,,,7788.14451
150,O,4,201.4003639,,,,8029.855771
151,O,4,24.20140491,,,,6014.923451
152,O,4,208.973956,,,,3813.896801
153,O,4,206.6180902,,,,4297.887983
154,O,4,215.2856134,,,,3909.516073
155,P,4,339.7411565,,,,6051.221729
156,I,4,311.8430655,,,,6850.384759
157,I,4,139.3025624,,,,5010.210969
158,U,4,284.0481369,,,,23403.71456
159,I,4,331.8516923,,,,4977.389465
160,U,4,335.5539877,,,Y,37739.24221
161,U,4,313.4617093,,,,7971.486985
162,U,4,53.90586204,,,,4257.608082
163,I,4,23.71587182,,,,7205.40625
164,P,4,329.1965493,,,,5750.898214
165,P,4,314.7144662,,,,2775.673378
166,P,4,314.1966816,,,,2407.707804
167,P,4,320.8318205,,,,4747.015772
168,U,4,316.8614386,,,,10626.94598
169,U,4,315.2430375,,,,8713.944957
170,U,4,313.0014325,,,,5260.807068
171,P,4,325.1428361,,,,2342.759858
172,P,4,312.8197325,,,,1096.314936
173,P,4,330.7163544,,,,1653.739567
174,P,4,323.5452369,,,,4948.86817
175,P,4,341.2736576,,,,5549.352243
176,I,4,357.1898224,,,,5848.100417
177,P,4,315.8056682,,,,4980.871605
178,U,4,318.1066877,,,,3060.27214
179,P,4,267.4959583,,,,29942.16118
180,I,4,332.7809419,,,,7282.51039
181,P,4,321.835381,,,,6210.352236
182,T,4,142.6309634,,,,6024.698973
183,P,4,321.1854861,,,,5724.389081
184,P,4,313.079179,,,,3758.600091
185,P,4,317.8036287,,,,2060.994508
186,U,4,323.068684,,,,4416.17684
187,U,4,306.7657449,,,,3091.988504
188,P,4,317.4337466,,,,3910.897403
189,P,4,308.8555169,,,,6409.006018
190,P,4,307.5383935,,,,5125.585008
191,P,4,325.0230591,,,,4959.287437
192,P,4,305.1386188,,,,2882.268352
193,U,4,277.2845866,,,,1053.239217
